"",BBK01.TSD303O,BBK01.TSD303O_FLAGS,BBK01.TSD302,BBK01.TSD302_FLAGS,BBK01.TSD304,BBK01.TSD304_FLAGS,BBK01.TSD305,BBK01.TSD305_FLAGS,BBK01.TSD306,BBK01.TSD306_FLAGS,BBK01.TS5379O,BBK01.TS5379O_FLAGS,BBK01.TS1353,BBK01.TS1353_FLAGS,BBK01.TZ5353O,BBK01.TZ5353O_FLAGS,BBK01.TZ4952,BBK01.TZ4952_FLAGS,BBK01.TZ4954,BBK01.TZ4954_FLAGS,BBK01.TZ4955,BBK01.TZ4955_FLAGS,BBK01.TZ4956,BBK01.TZ4956_FLAGS,BBK01.TZ5379O,BBK01.TZ5379O_FLAGS,BBK01.TZ1303,BBK01.TZ1303_FLAGS,BBK01.TS5303O,BBK01.TS5303O_FLAGS,BBK01.AY4952,BBK01.AY4952_FLAGS,BBK01.AY4954,BBK01.AY4954_FLAGS,BBK01.AY4955,BBK01.AY4955_FLAGS,BBK01.AY4956,BBK01.AY4956_FLAGS,BBK01.TS5329O,BBK01.TS5329O_FLAGS,BBK01.TS1303,BBK01.TS1303_FLAGS
"","Monetary aggregate M3 (from January 2002, excluding currency in circulation; from June 2010, excluding repos with central counterparties) / German contribution / Outstanding amounts at the end of the month (stocks) / Seasonally adjusted",,"Monetary aggregate M2 (from January 2002, excluding currency in circulation) / German contribution / Outstanding amounts at the end of the month (stocks) / Seasonally adjusted",,Deposits / Overnight / German contribution / Outstanding amounts at the end of the month (stocks) / Seasonally adjusted,,Deposits / With an agreed maturity of up to 2 years / German contribution / Outstanding amounts at the end of the month (stocks) / Seasonally adjusted,,Deposits / Redeemable at notice of up to 3 months / German contribution / Outstanding amounts at the end of the month (stocks) / Seasonally adjusted,,"Marketable instruments (from June 2010, excluding repos with central counterparties) / German contribution / Outstanding amounts at the end of the month (stocks) / Seasonally adjusted",,Monetary aggregate M3 in the euro area / Outstanding amounts at the end of the month (stocks) / Seasonally adjusted,,"Monetary aggregate M3 (from January 2002, excluding currency in circulation; from June 2010, excluding repos with central counterparties) / German contribution / Financial transactions (flows) / Seasonally adjusted",,"Monetary aggregate M2 (from January 2002, excluding currency in circulation) / German contribution / Financial transactions (flows) / Seasonally adjusted",,Deposits / Overnight / German contribution / Financial transactions (flows) / Seasonally adjusted,,Deposits / With an agreed maturity of up to 2 years / German contribution / Financial transactions (flows) / Seasonally adjusted,,Deposits / Redeemable at notice of up to 3 months / German contribution / Financial transactions (flows) / Seasonally adjusted,,"Marketable instruments (from June 2010, excluding repos with central counterparties) / German contribution / Financial transactions (flows) / Seasonally adjusted",,Monetary aggregate M3 in the euro area / Financial transactions (flows) / Seasonally adjusted,,"Monetary aggregate M3 (from January 2002, excluding currency in circulation; from June 2010, excluding repos with central counterparties) / German contribution / Index / Seasonally adjusted",,"Monetary aggregate M2 (from January 2002, excluding currency in circulation) / German contribution / Index / Seasonally adjusted",,Deposits / Overnight / German contribution / Index / Seasonally adjusted,,Deposits / With an agreed maturity of up to 2 years / German contribution / Index / Seasonally adjusted,,Deposits / Redeemable at notice of up to 3 months / German contribution / Index / Seasonally adjusted,,"Marketable instruments (from June 2010, excluding repos with central counterparties) / German contribution / Index / Seasonally adjusted",,Monetary aggregate M3 in the euro area / Index / Seasonally adjusted,
unit,Euro,,DM/Euro,,DM/Euro,,DM/Euro,,DM/Euro,,Euro,,Euro,,Euro,,Euro,,Euro,,Euro,,Euro,,Euro,,EURO,,1208=100,,1208=100,,1208=100,,1208=100,,1208=100,,1208=100,,EUR,
unit multiplier,billion,,billion,,billion,,billion,,billion,,billion,,billion,,billion,,billion,,billion,,billion,,billion,,billion,,billion,,one,,one,,one,,one,,one,,one,,one,
last update,2021-09-27 14:20:16,,2021-09-27 14:20:15,,2021-09-27 14:20:16,,2021-09-27 14:20:16,,2021-09-27 14:20:16,,2021-09-27 14:20:02,,2021-09-27 14:19:45,,2021-09-27 14:20:46,,2021-09-27 14:20:34,,2021-09-27 14:20:43,,2021-09-27 14:20:43,,2021-09-27 14:20:44,,2021-09-27 14:20:46,,2021-09-27 14:20:30,,2021-09-27 14:20:01,,2021-09-27 14:19:28,,2021-09-27 14:19:29,,2021-09-27 14:19:29,,2021-09-27 14:19:29,,2021-09-27 14:20:02,,2021-09-27 14:19:31,
1995-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.56116,,51.62594,,29.18774,,44.47967,,78.89052,,23.94301,,,
1995-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.37275,,51.55475,,29.27309,,43.72570,,79.54866,,22.84724,,,
1995-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.11584,,51.35475,,28.91065,,43.13916,,80.17707,,22.17990,,,
1995-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.27581,,51.44131,,29.24260,,42.29194,,81.03311,,22.90047,,,
1995-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.68197,,51.86512,,29.84593,,42.09394,,81.91965,,23.09082,,,
1995-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.82823,,51.91543,,29.77661,,41.62317,,82.95793,,23.98129,,,
