"",BBNZ1.Q.DE.S.H.0931.A,BBNZ1.Q.DE.S.H.0931.A_FLAGS,BBNZ1.Q.DE.S.H.0933.A,BBNZ1.Q.DE.S.H.0933.A_FLAGS,BBNZ1.Q.DE.S.H.0934.A,BBNZ1.Q.DE.S.H.0934.A_FLAGS,BBNZ1.Q.DE.S.H.0948.A,BBNZ1.Q.DE.S.H.0948.A_FLAGS,BBNZ1.Q.DE.S.H.0939.A,BBNZ1.Q.DE.S.H.0939.A_FLAGS,BBNZ1.Q.DE.S.H.0940.A,BBNZ1.Q.DE.S.H.0940.A_FLAGS,BBNZ1.Q.DE.S.H.0938.A,BBNZ1.Q.DE.S.H.0938.A_FLAGS,BBNZ1.Q.DE.S.H.0949.A,BBNZ1.Q.DE.S.H.0949.A_FLAGS
"",Germany/Unit labour costs per hour / Production sector (excluding construction)/Chain-linked index/Seasonally adjusted only,,Germany/Unit labour costs per hour / Construction/Chain-linked index/Seasonally adjusted only,,"Germany/Unit labour costs per hour / Wholesale/retail trade, transport and storage, hotel and restaurant services/Chain-linked index/Seasonally adjusted only",,Germany/Unit labour costs per hour / Information and communication/Chain-linked index/Seasonally adjusted only,,Germany/Unit labour costs per hour / Financial and insurance activities/Chain-linked index/Seasonally adjusted only,,Germany/Unit labour costs per hour / Real estate activities/Chain-linked index/Seasonally adjusted only,,Germany/Unit labour costs per hour / Business services/Chain-linked index/Seasonally adjusted only,,Germany / National accounts / Unit labor costs on an hourly basis / Enterprises / Chain-linked index / Seasonally adjusted only,
unit,2015=100,,2015=100,,2015=100,,2015=100,,2015=100,,2015=100,,2015=100,,2015=100,
unit multiplier,one,,one,,one,,one,,one,,one,,one,,one,
last update,2021-11-25 08:05:44,,2021-11-25 08:05:45,,2021-11-25 08:05:45,,2021-11-25 08:05:48,,2021-11-25 08:05:46,,2021-11-25 08:05:47,,2021-11-25 08:05:46,,2021-11-25 08:05:48,
1991-01,83.50,,56.99,,79.72,,119.03,,42.58,,79.52,,35.56,,74.82,
1991-04,86.38,,60.20,,82.78,,127.57,,43.01,,88.62,,36.63,,78.17,
1991-07,87.83,,59.26,,86.36,,133.03,,44.04,,87.58,,37.82,,79.30,
1991-10,89.73,,61.33,,87.50,,130.81,,44.63,,90.17,,38.67,,80.79,
1992-01,88.65,,61.24,,88.55,,126.02,,45.69,,91.27,,37.80,,80.55,
1992-04,93.40,,63.27,,93.10,,128.90,,48.15,,92.42,,38.50,,83.87,
1992-07,96.26,,64.16,,94.24,,132.43,,48.40,,95.51,,40.09,,85.69,
1992-10,98.06,,64.07,,93.81,,133.55,,48.13,,97.68,,40.49,,86.25,
1993-01,96.39,,66.54,,97.59,,127.05,,48.22,,98.94,,40.05,,86.09,
1993-04,97.88,,68.07,,98.82,,127.43,,47.47,,100.47,,40.65,,87.02,
1993-07,98.79,,67.99,,98.92,,128.24,,47.62,,102.19,,41.19,,87.51,
1993-10,98.30,,71.45,,100.28,,130.83,,48.92,,104.78,,41.96,,88.42,
1994-01,96.68,,70.47,,99.40,,134.96,,48.82,,104.68,,43.43,,88.03,
1994-04,95.46,,69.46,,100.52,,133.33,,49.11,,105.27,,43.63,,87.63,
1994-07,96.00,,70.21,,99.47,,132.15,,49.84,,104.93,,43.60,,87.64,
1994-10,95.54,,72.23,,99.34,,134.56,,51.25,,106.16,,44.35,,88.24,
1995-01,95.52,,73.77,,100.23,,135.69,,52.10,,100.90,,44.41,,87.95,
1995-04,98.36,,73.58,,101.82,,134.97,,54.19,,102.53,,45.23,,89.54,
1995-07,99.41,,75.18,,102.09,,135.01,,53.79,,103.35,,45.45,,89.95,
1995-10,99.88,,78.01,,102.29,,133.22,,54.06,,103.23,,45.62,,90.38,
1996-01,100.91,,81.78,,103.45,,136.63,,52.89,,99.62,,47.29,,90.75,
1996-04,100.77,,75.27,,101.90,,133.81,,52.17,,99.57,,47.19,,89.36,
1996-07,99.97,,76.84,,101.91,,130.86,,54.23,,99.62,,47.48,,89.47,
1996-10,99.69,,79.98,,102.04,,127.76,,53.40,,99.63,,47.33,,89.33,
1997-01,101.56,,81.61,,104.21,,124.56,,53.61,,101.70,,50.40,,91.14,
1997-04,95.55,,74.31,,99.97,,121.78,,52.93,,100.11,,49.32,,86.99,
1997-07,96.27,,76.59,,100.85,,120.47,,53.36,,100.00,,49.62,,87.57,
1997-10,96.16,,78.13,,100.35,,120.52,,53.36,,100.35,,49.31,,87.38,
1998-01,96.75,,77.51,,98.25,,113.65,,54.33,,105.20,,50.50,,87.19,
1998-04,98.98,,77.98,,100.83,,114.52,,54.56,,106.85,,51.18,,88.45,
1998-07,97.97,,77.57,,99.64,,113.52,,53.85,,107.37,,51.42,,87.67,
1998-10,101.06,,78.52,,99.77,,113.20,,52.79,,109.14,,51.49,,88.57,
1999-01,101.04,,79.72,,100.63,,110.71,,50.61,,108.60,,51.58,,88.89,
1999-04,100.76,,78.78,,102.45,,111.98,,50.94,,111.83,,53.10,,89.43,
1999-07,99.66,,76.95,,101.52,,110.57,,50.39,,114.06,,52.99,,88.61,
1999-10,98.59,,76.36,,100.05,,109.18,,53.00,,112.49,,53.05,,88.07,
2000-01,97.01,,78.69,,99.03,,112.55,,56.22,,111.04,,53.70,,88.11,
2000-04,98.71,,79.56,,100.42,,112.49,,60.28,,111.83,,54.72,,89.59,
2000-07,98.32,,79.13,,100.95,,112.56,,61.52,,111.44,,55.77,,89.77,
2000-10,98.65,,79.13,,101.74,,112.91,,60.40,,112.86,,56.62,,90.23,
2001-01,95.99,,79.88,,96.49,,109.22,,57.22,,109.01,,55.25,,87.24,
2001-04,99.15,,81.03,,98.08,,109.74,,56.35,,108.97,,56.22,,88.71,
2001-07,99.19,,80.74,,99.04,,111.30,,56.66,,107.09,,56.53,,88.82,
2001-10,99.79,,80.02,,97.93,,109.12,,59.11,,106.28,,56.80,,88.72,
2002-01,101.13,,79.93,,98.00,,108.27,,59.73,,105.23,,57.26,,89.03,
2002-04,98.80,,80.33,,96.46,,107.68,,59.79,,104.95,,57.16,,87.94,
2002-07,98.70,,80.56,,96.65,,109.10,,63.93,,104.89,,57.57,,88.45,
2002-10,98.83,,81.65,,95.84,,106.87,,66.83,,103.36,,58.67,,88.48,
2003-01,99.29,,82.69,,97.06,,120.21,,70.11,,107.54,,59.27,,90.03,
2003-04,99.73,,83.16,,95.97,,120.48,,73.35,,105.99,,59.61,,90.15,
2003-07,98.27,,81.19,,93.45,,119.69,,76.25,,105.44,,58.88,,88.83,
2003-10,97.49,,82.55,,93.81,,118.75,,76.69,,105.40,,60.83,,89.09,
2004-01,96.87,,81.63,,93.54,,113.67,,79.92,,102.68,,63.13,,89.52,
2004-04,94.57,,82.12,,92.48,,112.44,,81.65,,100.93,,62.98,,88.31,
2004-07,94.75,,83.87,,92.68,,113.52,,82.70,,100.18,,63.17,,88.65,
2004-10,95.03,,82.59,,91.28,,112.35,,82.92,,100.38,,62.65,,88.22,
2005-01,96.87,,85.00,,92.70,,121.33,,83.92,,101.38,,66.01,,90.23,
2005-04,91.89,,81.57,,89.73,,116.83,,83.57,,102.12,,64.96,,87.27,
2005-07,93.42,,82.59,,90.07,,117.12,,84.35,,100.46,,64.53,,87.87,
2005-10,92.76,,83.66,,88.96,,116.13,,85.80,,100.69,,63.96,,87.43,
2006-01,90.30,,84.85,,84.96,,112.16,,86.80,,99.59,,65.90,,86.03,
2006-04,90.53,,84.88,,84.94,,110.61,,86.20,,98.18,,65.91,,86.01,
2006-07,91.10,,83.08,,84.72,,110.28,,87.71,,99.35,,66.73,,86.37,
2006-10,88.93,,81.37,,82.46,,108.41,,86.69,,98.59,,65.84,,84.63,
2007-01,88.37,,83.15,,83.94,,101.85,,85.85,,97.81,,66.20,,84.50,
2007-04,89.77,,87.75,,83.98,,103.12,,86.40,,96.37,,66.18,,85.31,
2007-07,89.56,,88.22,,84.18,,102.00,,84.53,,96.40,,67.28,,85.32,
2007-10,89.08,,86.69,,83.64,,101.42,,88.64,,94.79,,67.32,,85.20,
2008-01,91.37,,85.72,,84.29,,102.95,,88.98,,94.04,,69.58,,86.47,
2008-04,88.74,,86.11,,84.02,,103.54,,90.61,,94.53,,69.64,,85.62,
2008-07,93.06,,89.09,,87.24,,103.25,,89.92,,97.53,,71.68,,88.40,
2008-10,100.78,,90.38,,89.25,,101.68,,92.61,,96.91,,72.71,,91.81,
2009-01,110.57,,93.92,,92.39,,108.08,,88.40,,93.46,,78.65,,96.07,
2009-04,107.76,,96.20,,92.59,,104.93,,95.31,,92.93,,79.65,,95.64,
2009-07,104.01,,94.89,,91.78,,103.16,,95.00,,93.82,,80.24,,94.37,
2009-10,102.13,,96.31,,91.51,,101.35,,95.99,,94.85,,81.28,,94.09,
2010-01,96.99,,90.66,,96.99,,106.49,,89.39,,94.77,,81.73,,93.52,
2010-04,93.38,,87.46,,95.62,,105.79,,87.89,,96.78,,82.47,,92.04,
2010-07,93.22,,89.95,,94.47,,105.13,,89.80,,96.18,,82.79,,92.08,
2010-10,91.50,,92.65,,94.59,,105.07,,89.78,,96.32,,83.23,,91.78,
2011-01,92.74,,89.92,,93.08,,98.25,,88.57,,94.18,,84.82,,91.20,
2011-04,93.43,,90.99,,93.74,,98.28,,87.89,,96.11,,87.13,,92.12,
2011-07,92.50,,92.68,,94.26,,97.56,,88.01,,94.98,,87.82,,92.05,
2011-10,94.21,,90.66,,95.18,,98.02,,97.48,,95.78,,88.46,,93.45,
2012-01,93.08,,92.87,,92.52,,100.56,,94.31,,100.19,,90.27,,93.44,
2012-04,96.62,,95.35,,94.82,,100.81,,94.83,,100.37,,91.33,,95.65,
2012-07,96.48,,97.06,,95.97,,100.71,,94.81,,101.04,,92.78,,96.24,
2012-10,98.53,,97.83,,96.77,,101.90,,92.87,,101.10,,93.48,,97.19,
2013-01,101.15,,100.66,,98.16,,97.64,,92.33,,94.93,,92.58,,97.75,
2013-04,99.62,,97.89,,96.92,,96.30,,89.41,,96.29,,92.80,,96.61,
2013-07,99.92,,97.49,,96.60,,96.67,,88.81,,96.14,,92.64,,96.62,
2013-10,99.58,,99.11,,97.95,,97.54,,92.37,,97.46,,93.03,,97.32,
2014-01,98.12,,95.94,,98.62,,99.02,,95.15,,99.44,,93.79,,97.39,
2014-04,99.68,,97.17,,98.92,,96.65,,98.88,,97.90,,95.64,,98.38,
2014-07,98.37,,97.39,,98.28,,96.91,,99.26,,98.50,,95.44,,97.80,
2014-10,98.39,,100.09,,98.29,,97.31,,99.68,,97.92,,96.51,,98.26,
2015-01,100.64,,99.59,,99.10,,100.51,,97.70,,102.40,,98.55,,99.64,
