åŸópé“ïÒèV,,,,,,,,(íPà :10â≠â~ÅA%)
Compensation of Employees,,,,,,,,"(Billion Yen, %)"
,ñºñ⁄,,,,é¿éøÅi2015óÔîNòAçΩâøäiÅj,,,
,Nominal,,,,Real (Chained (2015) Yen),,,
,å¥ånóÒ,,ãGêﬂí≤êÆånóÒ,,å¥ånóÒ,,ãGêﬂí≤êÆånóÒ,
,Original Series,,Seasonally Adjusted Series,,Original Series,,Seasonally Adjusted Series,
,é¿äz,ëùâ¡ó¶,é¿äz,ëùâ¡ó¶,é¿äz,ëùâ¡ó¶,é¿äz,ëùâ¡ó¶
,Level,(*),Level,(**),Level,(*),Level,(**)
1994/ 1- 3.,"53,536.9 ",,"257,725.8 ",,"49,693.3 ",,"238,185.4 ",
4- 6.,"66,257.4 ",,"263,991.3 ",2.4 ,"60,848.9 ",,"243,223.5 ",2.1 
7- 9.,"63,427.0 ",,"259,822.7 ",-1.6 ,"58,717.7 ",,"239,967.2 ",-1.3 
10-12.,"78,403.2 ",,"263,912.3 ",1.6 ,"72,138.4 ",,"243,739.9 ",1.6 
1995/ 1- 3.,"54,735.0 ",2.2 ,"263,228.9 ",-0.3 ,"50,969.8 ",2.6 ,"244,029.7 ",0.1 
4- 6.,"66,375.7 ",0.2 ,"264,515.6 ",0.5 ,"61,565.7 ",1.2 ,"246,261.9 ",0.9 
7- 9.,"65,099.4 ",2.6 ,"266,548.4 ",0.8 ,"60,825.1 ",3.6 ,"248,442.3 ",0.9 
10-12.,"79,792.8 ",1.8 ,"269,186.2 ",1.0 ,"74,235.2 ",2.9 ,"251,372.7 ",1.2 
1996/ 1- 3.,"55,827.4 ",2.0 ,"267,655.8 ",-0.6 ,"52,501.6 ",3.0 ,"250,352.8 ",-0.4 
4- 6.,"67,537.8 ",1.8 ,"269,167.3 ",0.6 ,"62,868.5 ",2.1 ,"251,452.8 ",0.4 
7- 9.,"66,478.4 ",2.1 ,"272,168.5 ",1.1 ,"62,295.8 ",2.4 ,"254,526.0 ",1.2 
10-12.,"80,846.7 ",1.3 ,"273,459.6 ",0.5 ,"75,307.2 ",1.4 ,"255,738.3 ",0.5 
1997/ 1- 3.,"58,099.5 ",4.1 ,"277,480.2 ",1.5 ,"54,669.7 ",4.1 ,"259,734.1 ",1.6 
4- 6.,"69,942.7 ",3.6 ,"278,643.1 ",0.4 ,"64,179.5 ",2.1 ,"256,622.7 ",-1.2 
7- 9.,"68,315.2 ",2.8 ,"279,887.5 ",0.4 ,"63,061.5 ",1.2 ,"257,798.8 ",0.5 
10-12.,"82,393.8 ",1.9 ,"279,470.4 ",-0.1 ,"75,723.6 ",0.6 ,"257,995.0 ",0.1 
1998/ 1- 3.,"58,402.4 ",0.5 ,"277,784.8 ",-0.6 ,"54,363.0 ",-0.6 ,"257,127.5 ",-0.3 
4- 6.,"69,381.5 ",-0.8 ,"276,006.2 ",-0.6 ,"64,039.5 ",-0.2 ,"255,697.7 ",-0.6 
7- 9.,"66,600.0 ",-2.5 ,"273,265.7 ",-1.0 ,"62,021.7 ",-1.6 ,"253,950.1 ",-0.7 
10-12.,"80,188.2 ",-2.7 ,"272,943.5 ",-0.1 ,"73,850.1 ",-2.5 ,"252,572.1 ",-0.5 
1999/ 1- 3.,"57,200.5 ",-2.1 ,"270,750.2 ",-0.8 ,"53,542.2 ",-1.5 ,"251,954.9 ",-0.2 
4- 6.,"67,704.5 ",-2.4 ,"268,948.3 ",-0.7 ,"62,819.2 ",-1.9 ,"250,535.1 ",-0.6 
7- 9.,"65,516.1 ",-1.6 ,"269,206.2 ",0.1 ,"61,252.5 ",-1.2 ,"251,059.8 ",0.2 
10-12.,"78,831.1 ",-1.7 ,"269,228.1 ",0.0 ,"73,453.6 ",-0.5 ,"252,076.1 ",0.4 
2000/ 1- 3.,"57,125.3 ",-0.1 ,"269,367.8 ",0.1 ,"53,927.9 ",0.7 ,"252,560.7 ",0.2 
4- 6.,"67,863.6 ",0.2 ,"269,022.1 ",-0.1 ,"63,667.2 ",1.3 ,"253,454.8 ",0.4 
7- 9.,"65,589.6 ",0.1 ,"269,976.0 ",0.4 ,"62,072.4 ",1.3 ,"254,952.7 ",0.6 
10-12.,"79,311.1 ",0.6 ,"271,706.7 ",0.6 ,"74,837.5 ",1.9 ,"257,589.4 ",1.0 
2001/ 1- 3.,"57,972.0 ",1.5 ,"272,295.4 ",0.2 ,"55,247.8 ",2.4 ,"257,776.1 ",0.1 
4- 6.,"68,062.1 ",0.3 ,"268,819.7 ",-1.3 ,"64,753.2 ",1.7 ,"256,815.1 ",-0.4 
7- 9.,"64,431.7 ",-1.8 ,"265,953.6 ",-1.1 ,"61,884.0 ",-0.3 ,"255,034.1 ",-0.7 
10-12.,"76,137.8 ",-4.0 ,"261,615.8 ",-1.6 ,"73,156.4 ",-2.2 ,"252,523.0 ",-1.0 
2002/ 1- 3.,"55,975.2 ",-3.4 ,"262,478.1 ",0.3 ,"54,512.8 ",-1.3 ,"254,022.0 ",0.6 
4- 6.,"65,057.7 ",-4.4 ,"255,567.1 ",-2.6 ,"62,981.6 ",-2.7 ,"248,379.9 ",-2.2 
7- 9.,"62,099.4 ",-3.6 ,"257,539.3 ",0.8 ,"60,611.3 ",-2.1 ,"251,006.7 ",1.1 
10-12.,"74,300.8 ",-2.4 ,"255,256.6 ",-0.9 ,"72,315.1 ",-1.2 ,"249,452.5 ",-0.6 
2003/ 1- 3.,"55,265.5 ",-1.3 ,"259,737.5 ",1.8 ,"54,457.3 ",-0.1 ,"254,430.0 ",2.0 
4- 6.,"65,422.5 ",0.6 ,"255,306.2 ",-1.7 ,"64,162.0 ",1.9 ,"251,283.2 ",-1.2 
